,loss,accuracy,val_loss,val_accuracy,lr,experiment,epoch
0,0.25077641010284424,0.8921239972114563,0.17236477136611938,0.931875467300415,9.999999747378752e-05,0.0,0.0
1,0.1851145625114441,0.9191910624504089,0.16436928510665894,0.9354004859924316,9.999999747378752e-05,0.0,1.0
2,0.1645062118768692,0.9277567267417908,0.16362394392490387,0.9354106783866882,9.999999747378752e-05,0.0,2.0
3,0.14836102724075317,0.9349267482757568,0.17563709616661072,0.934448778629303,9.999999747378752e-06,0.0,3.0
4,0.14574788510799408,0.9359419345855713,0.1765320599079132,0.9344947338104248,9.999999974752427e-07,0.0,4.0
5,0.28607067465782166,0.8864871263504028,0.18343153595924377,0.9258741140365601,9.999999747378752e-05,1.0,0.0
6,0.18657979369163513,0.9185960292816162,0.18431691825389862,0.9291939735412598,9.999999747378752e-05,1.0,1.0
7,0.16455240547657013,0.927844226360321,0.1995917111635208,0.9297170042991638,9.999999747378752e-05,1.0,2.0
8,0.1501908004283905,0.9340800642967224,0.17952530086040497,0.9330788254737854,9.999999747378752e-05,1.0,3.0
9,0.13895967602729797,0.9389791488647461,0.2001998871564865,0.9331040382385254,9.999999747378752e-05,1.0,4.0
10,0.13034844398498535,0.942656397819519,0.21058407425880432,0.9325160980224609,9.999999747378752e-06,1.0,5.0
11,0.12809549272060394,0.9437259435653687,0.20334435999393463,0.9327197074890137,9.999999974752427e-07,1.0,6.0
12,0.2787935435771942,0.8882497549057007,0.17733588814735413,0.9241732954978943,9.999999747378752e-05,2.0,0.0
13,0.1844099760055542,0.9194439649581909,0.1700216680765152,0.9324425458908081,9.999999747378752e-05,2.0,1.0
14,0.16225378215312958,0.9287968277931213,0.17291265726089478,0.9308163523674011,9.999999747378752e-05,2.0,2.0
15,0.1491183042526245,0.9344487190246582,0.18811802566051483,0.9333708882331848,9.999999747378752e-06,2.0,3.0
16,0.14534923434257507,0.9360816478729248,0.1923842579126358,0.9329348802566528,9.999999747378752e-06,2.0,4.0
17,0.14424015581607819,0.9366300702095032,0.19517149031162262,0.9329063296318054,9.999999974752427e-07,2.0,5.0
18,0.2729977071285248,0.8882272839546204,0.1820233166217804,0.9283771514892578,9.999999747378752e-05,3.0,0.0
19,0.1909034550189972,0.9167370796203613,0.1792065054178238,0.9304209351539612,9.999999747378752e-05,3.0,1.0
20,0.16806091368198395,0.926490306854248,0.1771078258752823,0.9328994154930115,9.999999747378752e-05,3.0,2.0
21,0.15302449464797974,0.932955265045166,0.1779392957687378,0.9341087937355042,9.999999747378752e-05,3.0,3.0
22,0.14223672449588776,0.9377114176750183,0.1750938445329666,0.9336780309677124,9.999999747378752e-05,3.0,4.0
23,0.13134407997131348,0.942421555519104,0.19072957336902618,0.9328218102455139,9.999999747378752e-06,3.0,5.0
24,0.23223230242729187,0.8998528122901917,0.1839301437139511,0.9264336228370667,9.999999747378752e-05,4.0,0.0
25,0.1735171526670456,0.9239073395729065,0.17327983677387238,0.9272212386131287,9.999999747378752e-05,4.0,1.0
26,0.15319500863552094,0.9325492978096008,0.17850758135318756,0.9315216541290283,9.999999747378752e-05,4.0,2.0
27,0.14168044924736023,0.937525749206543,0.16467708349227905,0.935180127620697,9.999999747378752e-05,4.0,3.0
28,0.13133136928081512,0.942116379737854,0.19728490710258484,0.9319698214530945,9.999999747378752e-05,4.0,4.0
29,0.12150109559297562,0.9465744495391846,0.19582980871200562,0.932310938835144,9.999999747378752e-06,4.0,5.0
