,loss,accuracy,val_loss,val_accuracy,lr,experiment,epoch
0,0.19036711752414703,0.9173670411109924,0.1630355715751648,0.9316993951797485,9.999999747378752e-05,0.0,0.0
1,0.1460130661725998,0.9359386563301086,0.15973983705043793,0.9348269701004028,9.999999747378752e-05,0.0,1.0
2,0.12905073165893555,0.9433935880661011,0.17169244587421417,0.9305588006973267,9.999999747378752e-05,0.0,2.0
3,0.11364636570215225,0.9502127170562744,0.17413230240345,0.9317011833190918,9.999999747378752e-06,0.0,3.0
4,0.19265137612819672,0.9153954982757568,0.16763967275619507,0.930878221988678,9.999999747378752e-05,1.0,0.0
5,0.1467662751674652,0.9356713891029358,0.17208720743656158,0.9308080077171326,9.999999747378752e-05,1.0,1.0
6,0.1276971846818924,0.9440914392471313,0.173823282122612,0.9302613139152527,9.999999747378752e-06,1.0,2.0
7,0.21260367333889008,0.9085866808891296,0.16887949407100677,0.9300113916397095,9.999999747378752e-05,2.0,0.0
8,0.14620617032051086,0.9362325668334961,0.16542121767997742,0.9313148260116577,9.999999747378752e-05,2.0,1.0
9,0.12807832658290863,0.9441165924072266,0.17845697700977325,0.9267871379852295,9.999999747378752e-05,2.0,2.0
10,0.11376558989286423,0.9505693316459656,0.17624330520629883,0.9296501874923706,9.999999747378752e-06,2.0,3.0
11,0.18939444422721863,0.9172167778015137,0.17118017375469208,0.9316551089286804,9.999999747378752e-05,3.0,0.0
12,0.14458909630775452,0.9366229176521301,0.1703585833311081,0.9310579895973206,9.999999747378752e-05,3.0,1.0
13,0.12632052600383759,0.944703996181488,0.1680517941713333,0.9314828515052795,9.999999747378752e-06,3.0,2.0
14,0.21256433427333832,0.9126583337783813,0.1729428619146347,0.9267780184745789,9.999999747378752e-05,4.0,0.0
15,0.14982718229293823,0.9345179200172424,0.176067054271698,0.9257365465164185,9.999999747378752e-05,4.0,1.0
16,0.1310519278049469,0.9427132606506348,0.16742229461669922,0.9318130612373352,9.999999747378752e-06,4.0,2.0
17,0.12555216252803802,0.9451435804367065,0.17212215065956116,0.9303736686706543,9.999999747378752e-06,4.0,3.0
18,0.12237880378961563,0.946530282497406,0.172157421708107,0.9303841590881348,9.999999974752427e-07,4.0,4.0
