,loss,accuracy,val_loss,val_accuracy,lr,experiment,epoch
0,0.2594885230064392,0.886623203754425,0.17013047635555267,0.929638147354126,9.999999747378752e-05,0.0,0.0
1,0.19113977253437042,0.9164177179336548,0.16952833533287048,0.9305605292320251,9.999999747378752e-05,0.0,1.0
2,0.17102932929992676,0.9249317646026611,0.16181626915931702,0.9351869821548462,9.999999747378752e-05,0.0,2.0
3,0.15582747757434845,0.9315057992935181,0.1622542142868042,0.935868501663208,9.999999747378752e-05,0.0,3.0
4,0.14404438436031342,0.9366600513458252,0.1708407998085022,0.9341147541999817,9.999999747378752e-05,0.0,4.0
5,0.13102425634860992,0.9423893094062805,0.18124347925186157,0.9348954558372498,9.999999747378752e-06,0.0,5.0
6,0.2808593213558197,0.8784580230712891,0.20512619614601135,0.9160745143890381,9.999999747378752e-05,1.0,0.0
7,0.20886491239070892,0.9092420339584351,0.1728428304195404,0.9270014762878418,9.999999747378752e-05,1.0,1.0
8,0.1822989284992218,0.9201850295066833,0.17112833261489868,0.9323714375495911,9.999999747378752e-05,1.0,2.0
9,0.16336199641227722,0.9283543229103088,0.16606274247169495,0.933845579624176,9.999999747378752e-05,1.0,3.0
10,0.14964336156845093,0.934280276298523,0.17103631794452667,0.9326432943344116,9.999999747378752e-05,1.0,4.0
11,0.13586102426052094,0.9404400587081909,0.17306284606456757,0.9321027398109436,9.999999747378752e-06,1.0,5.0
12,0.2688554525375366,0.8858221769332886,0.17075343430042267,0.9303659200668335,9.999999747378752e-05,2.0,0.0
13,0.1883588433265686,0.9175998568534851,0.16478273272514343,0.9309897422790527,9.999999747378752e-05,2.0,1.0
14,0.1650533378124237,0.9275311827659607,0.17819000780582428,0.9335877299308777,9.999999747378752e-05,2.0,2.0
15,0.15046757459640503,0.9338487386703491,0.1731887012720108,0.9340280294418335,9.999999747378752e-05,2.0,3.0
16,0.1395658403635025,0.9386194944381714,0.1710260808467865,0.9358207583427429,9.999999747378752e-05,2.0,4.0
17,0.12956379354000092,0.9430397748947144,0.18304669857025146,0.9328610301017761,9.999999747378752e-05,2.0,5.0
18,0.11971808969974518,0.9474484920501709,0.2006630301475525,0.9312282800674438,9.999999747378752e-06,2.0,6.0
19,0.27493956685066223,0.8846253156661987,0.18296657502651215,0.9260984063148499,9.999999747378752e-05,3.0,0.0
20,0.1965412199497223,0.9138723015785217,0.16667497158050537,0.9299694895744324,9.999999747378752e-05,3.0,1.0
21,0.17209796607494354,0.924345076084137,0.1649962067604065,0.934857964515686,9.999999747378752e-05,3.0,2.0
22,0.15545554459095,0.9316543340682983,0.17121757566928864,0.9335620999336243,9.999999747378752e-05,3.0,3.0
23,0.1419045478105545,0.9375831484794617,0.17067615687847137,0.9341713190078735,9.999999747378752e-06,3.0,4.0
24,0.27373117208480835,0.8856841921806335,0.18287606537342072,0.9279686808586121,9.999999747378752e-05,4.0,0.0
25,0.18738605082035065,0.9183803796768188,0.18000468611717224,0.9324878454208374,9.999999747378752e-05,4.0,1.0
26,0.1660236269235611,0.9271332025527954,0.1701279580593109,0.9331939220428467,9.999999747378752e-05,4.0,2.0
27,0.15313509106636047,0.9326627254486084,0.17775219678878784,0.9340757131576538,9.999999747378752e-05,4.0,3.0
28,0.14125317335128784,0.9378653168678284,0.18868809938430786,0.9329622387886047,9.999999747378752e-05,4.0,4.0
29,0.12930545210838318,0.9431789517402649,0.18967211246490479,0.9333675503730774,9.999999747378752e-06,4.0,5.0
